backtest_id,daily_intelligence_id,run_date,period,discovery_source,source_publication,signal_type,category,trigger_entity,headline,article_summary,original_score,original_rationale,original_action,sentiment_tag,expected_tier,label_reason,revised_score,revised_rationale,pass
BT047,7afb337d-4aa3-48c7-8dd1-35d35e4a6a02,2026-07-30,P2_jul17_aug4,serper,European Coatings,Customer,suppliers,Univar Solutions,Univar Solutions acquires Interpur Chemicals in EMEA,"Univar Solutions has acquired Interpur Chemicals, a European distributor of polyurethanes and powder coatings. The deal expands Univar’s Performance Materials business within Ingredients + Specialties across Europe, the Middle East, and Africa, adding technical capabilities and supply continuity.",6.0,Potential channel shift for polyurethane and powder-coatings materials in EMEA.,Share with sales,Positive,surface,Distributor M&A,6,Channel expansion via acquisition affects polyurethane/powder-coatings supply in EMEA.,True
BT048,31c4a3b1-a4ca-472d-977b-5e4ada26e577,2026-07-30,P2_jul17_aug4,serper,Investing.com,Competitive,suppliers,Clariant,Clariant shares jump after Shell damages claim dismissed,Clariant stock rose 17% after an Amsterdam District Court dismissed Shell’s full damages claim over alleged European ethylene purchasing competition-law violations. The court also rejected a declaratory judgment claim by Stichting Ethylene Claims. Shell sought about €1 billion in damages.,4.0,Supplier legal overhang eased; indirect pricing/counterparty risk relief.,Monitor,Positive,unlabeled,,3,"Legal outcome only; no stated supply, pricing, or capacity impact.",
BT049,9907f3da-f21e-4805-ad52-82b8017c6fc2,2026-07-30,P2_jul17_aug4,serper,Floor Covering News (FCNews),Customer,customers,Tarkett,Tarkett Home highlights residential growth for synthetic turf,"Floor Covering News reports that artificial turf is expanding from sports and niche uses into mainstream residential applications. Tarkett Home’s Travis Cramer cites improved realism and performance, while suppliers link growth to water conservation, low maintenance, and sustainability priorities such as PFAS-free systems and recyclability.",6.0,Residential turf growth supports polymer/additive demand for turf systems.,Share with sales,Positive,unlabeled,,4,"Customer growth narrative, but no sourcing or material specifics.",
BT050,fb00cf0f-48f0-4539-a12b-9aeea5593904,2026-07-30,P2_jul17_aug4,serper,Trendhunter,Customer,suppliers,Lubrizol,POLYTECH expands Microthane® gel technology availability,POLYTECH Health & Aesthetics announced full commercial availability of its Microthane® silicone breast implant portfolio. Surgeons can choose between EasyFit™ Gel and lightweight B-Lite® gel on the same implant surface platform after regulatory confirmation by the company’s Notified Body.,6.0,Healthcare implant platform expansion supports specialty compound/additive demand.,Share with sales,Positive,unlabeled,,3,No Lubrizol linkage; only POLYTECH implant commercialization mentioned.,
BT051,53a5ba7b-59e9-4e12-877d-d6b538d848df,2026-07-31,P2_jul17_aug4,serper,Indian Chemical News,Customer,suppliers,Univar Solutions,Univar Solutions acquires Interpur Chemicals to expand EMEA specialty materials,"Univar Solutions acquired Interpur Chemicals, a European distributor of polyurethanes and powder coatings, to expand its Performance Materials business. The deal strengthens Univar’s presence in CASE (coatings, adhesives, sealants, and elastomers) across Europe, the Middle East, and Africa, citing broader product access and improved supply reliability.",6.0,Univar growth in CASE distribution may redirect specialty materials sourcing in EMEA.,Share with sales,Positive,surface,Distributor M&A,6,Univar acquisition expands CASE distribution reach in EMEA.,True
BT052,f662b0a6-c654-4419-a836-3c1780024856,2026-07-31,P2_jul17_aug4,zoominfo,GlobeNewswire,Customer,suppliers,Cabot Corporation,Cabot appoints Erica McLaughlin as CEO after Sean Keohane retirement,"Cabot Corporation announced Sean Keohane will retire as President and CEO and step down from the board effective September 30, 2026. Erica McLaughlin, currently Executive Vice President and CFO, will succeed him effective October 1, 2026, and Cabot will begin a search for a new CFO.",4.0,Indirect supplier-strategy continuity signal; no direct product or supply change.,Monitor,Neutral,unlabeled,,4,CEO/CFO succession only; no operational or supply-chain change stated.,
BT053,f71c4397-675c-4c93-ab83-05a45b69405c,2026-07-31,P2_jul17_aug4,serper,KRMG,Other,suppliers,Milliken,Tulsa tenants face Vesta management dispute and repair delays,"Tulsa hosted a public resource session for residents of Vesta Apartments amid ongoing ownership and management confusion. Tenants reported severe maintenance delays, including no working air conditioning and ceiling leaks, while a roofer said Vesta owes Priority Roofing more than $100,000 for repairs after bounced checks.",4.0,Property-management dispute; only indirect link to Americhem building/industrial plastics.,Monitor,Negative,unlabeled,,1,"No Milliken, polymers, chemicals, or supply-chain event indicated.",
BT054,c13d8608-f59f-4374-9a9d-44a7aa133811,2026-07-31,P2_jul17_aug4,serper,Chemical Engineering Magazine,Supply Chain,suppliers,Shintech,Nuberg EPC supplies emergency chlorine absorption system for Brinsa,"Nuberg EPC has designed and supplied a 100–150 ton/d emergency chlorine absorption system for Brinsa S.A. in Colombia, using its sodium hypochlorite (Hypo) technology. Commissioning is scheduled for October 2026, with full scope including engineering, equipment supply, installation supervision, and commissioning.",4.0,Chlor-alkali project signals regional chemical processing activity; no direct Americhem linkage.,Monitor,Neutral,unlabeled,,4,Shintech absent; chlorine absorption project only indirectly relevant.,
BT055,d5ebcdd1-5a13-4ee6-8f6c-c599b1dda6b9,2026-07-31,P2_jul17_aug4,serper,Plastics News,Sustainability,performance_compounds,performance_compounds,Teijin and Fujifilm launch closed-loop recycled polycarbonate for printers,"Teijin and Fujifilm established a closed-loop recycling system for engineering plastics recovered from multifunction printers. Fujifilm collects and dismantles printers, and Teijin compounds the recovered polycarbonate into Multion CM with 80% recycled content for Fujifilm’s ApeosPort printer exterior parts.",6.0,Recycled PC compound with color matching drives additive/masterbatch needs.,Share with sales,Positive,unlabeled,,6,New 80% rPC polycarbonate compound for printer exteriors.,
BT056,ce4792a3-a01e-44a0-bc27-a75c06495fcd,2026-08-03,P2_jul17_aug4,serper,Plastics News,Supply Chain,engineered_resins,engineered_resins,North American resin markets swing as buyers regain leverage,"North American resin markets shifted sharply in June as inventories swelled and export demand weakened, giving buyers more negotiating power. The article notes resin prices could go up again in August after sliding earlier this summer.",6.0,Feedstock price swings affect compound and masterbatch margins.,Monitor,Neutral,surface,Resin pricing/leverage shift,5,Macro resin price swing affects engineered resin input costs.,True
BT057,c0e8a370-d667-45ea-84b9-4d56104457c0,2026-08-03,P2_jul17_aug4,serper,FXStreet,Macro,macro_manufacturing,macro_manufacturing,US ISM Manufacturing PMI expected to rise in July,"FXStreet reports investors are focused on the US Institute for Supply Management (ISM) July Manufacturing PMI. Consensus calls for a rise to 54 from 53.3 in June, with the Prices Paid component easing to 70.3 from 73.",4.0,Macro PMI signal; no direct Americhem customer or supplier linkage.,Monitor,Neutral,surface,Core macro demand indicator for compounders,5,US ISM PMI and prices-paid shift affects plastics demand and costs.,True
BT058,8b50e2c3-3cef-446a-9977-0dfe68e5f95e,2026-08-03,P2_jul17_aug4,serper,GlobeNewswire,Competitive,suppliers,Univar Solutions,Univar Solutions acquires H.M. Royal to expand U.S. rubber plastics additives,"Univar Solutions announced it has acquired H.M. Royal, a 101-year-old specialty distributor of rubber, plastics, and adhesive additives. The deal strengthens Univar’s Performance Materials business within Ingredients + Specialties, expanding access to specialized products and technical support, especially on the East and West Coasts.",4.0,Supplier-distribution consolidation; unclear direct Americhem channel impact.,Monitor,Neutral,surface,Named distributor M&A affecting channel,6,Univar expands Performance Materials distribution via H.M. Royal acquisition.,True
BT059,907f723a-17b5-4de2-9351-4105a63264a7,2026-08-03,P2_jul17_aug4,serper,PRNewswire,Macro,macro_manufacturing,macro_manufacturing,ISM Manufacturing PMI rises to 55.6 in July 2026,"The Institute for Supply Management reported the U.S. Manufacturing PMI at 55.6% in July 2026, up 2.3 points from June. New orders and production expanded, supplier deliveries slowed, customers’ inventories stayed “too low,” and prices remained in increasing territory at 71.1%.",5.0,Improving manufacturing activity offsets price/lead-time pressures for plastics inputs.,Monitor,Neutral,surface,Core macro demand indicator for compounders,5,Macro demand tailwind via ISM PMI and production expansion.,True
BT060,42e3b06a-079d-4b03-9e1a-40dbbbf89f7c,2026-08-03,P2_jul17_aug4,serper,MarkLines,Customer,macro_automotive,macro_automotive,Mercedes-Benz Thailand reports H1 2026 vehicle sales and BEV growth,"Mercedes-Benz Thailand reported H1 2026 performance with 3,557 cumulative registrations and 2,845 total vehicle sales. BEV sales grew over 130% YoY, supported by the all-new electric CLA.",5.0,Thailand Mercedes-Benz BEV sales up; boosts automotive polymer part demand.,Share with sales,Positive,unlabeled,,2,"Macro vehicle sales only; no direct materials, pricing, or capacity event.",
BT061,01cb4b8d-124a-410f-a72a-0a2db6de2ef0,2026-08-03,P2_jul17_aug4,serper,Associated Builders and Contractors (ABC),Macro,macro_construction,macro_construction,ABC: June nonresidential construction spending rises on data centers,"ABC reports U.S. Census Bureau data showing national nonresidential construction spending rose 0.1% in June to $1.277 trillion (seasonally adjusted annualized). Data center construction spending rose 7% in June and 46% year over year, while private nonresidential spending fell nearly 5% year over year.",4.0,Macro construction uptick; no direct Americhem customer or polymer demand linkage.,Monitor,Positive,unlabeled,,5,Construction spending mix shift toward data centers; no direct material supply signal.,
BT062,59eb8058-36ff-4b91-8c3a-de7e3c5fff7f,2026-08-03,P2_jul17_aug4,serper,The Real Economy Blog (RSM),Macro,macro_energy_freight,macro_energy_freight,UK inflation risk rises as natural gas prices stay elevated,"The article argues that natural gas prices pose a bigger inflation risk to the UK than oil, citing a rise in the Ofgem energy price cap and wholesale gas prices rebounding to 147.6 pence per thermal unit. It attributes elevated prices to disrupted LNG shipments from Qatar, low European gas storage (just over half full, UK around a quarter full), and higher summer demand, warning of potential winter price spikes.",5.0,Energy-price volatility can raise costs and soften plastics demand.,Monitor,Negative,unlabeled,,3,Macro gas-price risk; no direct chemicals/materials supply event.,
BT063,4788d1c5-1866-4bdf-92f6-2f6757055425,2026-08-03,P2_jul17_aug4,serper,Resource Recycling,Regulatory,packaging,packaging,California SB 54 source reduction planning misread and growing burden,"Resource Recycling reports on California’s SB 54 source reduction plans and how producers are misinterpreting the 25% reduction target. rePurpose Global’s Alyssa Dizon says the planning exercise is a data-collection forecast for CAA, with complexity increasing through 2032 due to annual bonus-and-malus recalibration and expanding, non-harmonized state EPR programs.",5.0,EPR compliance complexity can drive packaging material and formulation changes.,Monitor,Neutral,unlabeled,,6,Binding EPR recalibration through 2032 affects packaging material compliance needs.,
BT064,f5ac3bbe-ea08-4e26-b862-9e363d743e33,2026-08-04,P2_jul17_aug4,serper,StreetInsider (ACCESS Newswire),Regulatory,packaging,packaging,U.S. packaging EPR laws expand compliance deadlines across seven states,"SCS Global Services outlines the U.S. packaging Extended Producer Responsibility (EPR) landscape across Maine, Oregon, Colorado, California, Minnesota, Maryland, and Washington. The article highlights active or approaching 2026 registration and reporting deadlines, explains producer definitions, and notes that EPR fees can be reduced via packaging design and data quality.",6.0,Multiple state EPR deadlines drive packaging design and data needs.,Share with sales,Positive,surface,Regulation directly affecting packaging customers,6,Multi-state EPR deadlines drive packaging material and data compliance needs.,True
BT065,b66c4afb-283a-46b5-ac26-78efe9714e1e,2026-08-04,P2_jul17_aug4,serper,Zacks Investment Research,Competitive,competitors,Avient,Zacks highlights Avient upcoming earnings among basic materials picks,"Kinross Gold Corporation reported Q2 2026 adjusted earnings of 71 cents per share, beating the Zacks Consensus Estimate. The article also lists Avient Corporation (AVNT) as scheduled to report Q2 2026 results on Aug. 6, with consensus EPS of $3.08 and a Zacks Rank #2.",3.0,Competitor mentioned without any actionable business change.,Monitor,Neutral,suppress,Stock-screener content,3,Earnings preview only; no operational or market change reported.,True
BT066,45e6188c-c648-4726-acff-ef2950f22c94,2026-08-04,P2_jul17_aug4,serper,Ink World magazine,Customer,suppliers,Univar Solutions,Univar Solutions acquires H.M. Royal specialty distributor,"Univar Solutions acquired H.M. Royal, a 101-year-old specialty distributor of rubber, plastics, and adhesive additives. The deal expands Univar’s Performance Materials business in its Ingredients + Specialties division, strengthening service and supply across the U.S., especially on the East and West Coasts.",4.0,"Distribution consolidation may affect ordering, but Americhem is not named.",Monitor,Neutral,surface,Named distributor M&A affecting channel,6,Univar acquisition expands additive distribution channel in U.S.,True
BT067,69438f0f-1324-4b3b-a97d-dcb0e9c92867,2026-08-04,P2_jul17_aug4,serper,The New Indian Express,Customer,customers,Saint-Gobain Glass,CM Vijay visits Saint-Gobain glass complex in Sriperumbudur,"Chief Minister C Joseph Vijay visited Saint-Gobain’s glass manufacturing complex at SIPCOT in Sriperumbudur, reviewing float, coated, laminated, and fire-resistant glass production and robotic handling systems. The article also notes sustainability initiatives and a Learn While Earn program with Nettur Technical Training Foundation.",3.0,"Customer visit; no sourcing, capacity, or material requirements mentioned.",Monitor,Neutral,unlabeled,,3,No sourcing or material procurement changes reported.,
BT068,17503c7c-356a-4f29-ab72-81b2abf26718,2026-08-04,P2_jul17_aug4,serper,HR TODAY,Customer,customers,Tarkett,Sensience appoints Joline Manning as Chief Human Resources Officer,"Sensience appointed Joline Manning as Chief Human Resources Officer (CHRO). The article notes her prior CHRO role at Tarkett, including HR leadership for North American businesses supporting more than 3,000 employees.",3.0,Tarkett appears only in background; no commercial or supply-chain impact.,Monitor,Neutral,unlabeled,,3,HR appointment with Tarkett mentioned only as prior experience.,
BT069,6fc5a772-8571-418a-9cf6-71fbc8b726e6,2026-08-04,P2_jul17_aug4,serper,Drimble,Other,competitors,Penn Color,Venray fire brigade dispatch reported; no Penn Color mention,A P2000 emergency dispatch was reported for the fire brigade in Venray (Maasheseweg) at 12:20. The page lists capcodes and additional related incidents near the same postcode. No information about Penn Color or any chemical/materials industry activity is included.,3.0,"No Penn Color, plastics, chemicals, or Americhem-relevant business signal.",No action,Negative,unlabeled,,1,No Penn Color mention; no chemical/materials or supply-chain event.,
BT070,69a0bf98-5da1-4e4b-aacd-2309fe5c5044,2026-08-05,P3_aug5_aug27,serper,Quartz (QZ),Macro,macro_manufacturing,macro_manufacturing,U.S. ISM manufacturing PMI hits four-year high in July,"The Institute for Supply Management reported its manufacturing PMI rose to 55.6 in July, the highest since May 2022, beating expectations of 54.0. Production, employment, new orders, and backlog expanded, while input costs and raw material prices remained elevated.",4.0,Broad manufacturing growth supports downstream plastics demand; no Americhem-specific linkage.,Monitor,Positive,surface,Core macro demand indicator for compounders,5,ISM PMI improvement signals broader manufacturing demand pickup.,True
BT071,821c84d7-1bd1-4bc9-9855-0a641e2dd1fa,2026-08-05,P3_aug5_aug27,serper,GlobeNewswire,Other,suppliers,Huntsman Corporation,Halper Sadeh investigates Huntsman-Olin transaction fairness,"Halper Sadeh LLC says it is investigating whether Huntsman Corporation (NYSE: HUN) and Olin Corporation (NYSE: OLN) are providing fair deals to shareholders in connection with a proposed transaction. The deal is described as Huntsman being sold to Olin for 0.5476 shares of Olin per Huntsman share, and as part of a merger where Olin shareholders would own about 54.5% of the combined company.",3.0,"Transaction dispute risk, but no direct Americhem supply/customer linkage provided.",Monitor,Negative,unlabeled,,6,Proposed Huntsman-Olin deal may reshape supply chain and contracting.,
BT072,586605d9-8e18-4bee-8d81-9ccf320e758a,2026-08-05,P3_aug5_aug27,serper,Bloomberg Tax (Daily Tax Report),Regulatory,customers,3M,US Tax Court wipes out 3M transfer pricing tax bill,The US Tax Court ruled that 3M Co. owes no tax deficiency for its 2006 tax year and is entitled to a refund of more than $5.2 million. The decision follows an Eighth Circuit transfer pricing ruling that reversed a prior Tax Court outcome involving IRS reallocation of income from 3M’s Brazilian subsidiary to the US parent.,3.0,"Indirect: affects 3M’s taxes, no stated Americhem commercial linkage.",Monitor,Neutral,unlabeled,,3,"Tax litigation outcome; no direct polymer, additive, or channel impact stated.",
BT073,aedfdffb-08d9-46c0-aa4b-b560aea547fc,2026-08-05,P3_aug5_aug27,zoominfo,PRNewswire,Supply Chain,suppliers,Chemours,Chemours reports Q2 2026 results and TiO2 pricing increase,"Chemours reported Q2 2026 net sales of $1.6 billion, approximately flat year over year, and a net loss attributable to Chemours of $274 million. The company announced an additional global TiO2 price increase effective June 1, 2026, and said APM Performance Solutions net sales grew 8% year over year.",4.0,Supplier pricing and segment performance could influence TiO2 input costs.,Monitor,Neutral,unlabeled,,7,TiO2 price increase is a direct pigment input cost signal.,
BT074,9865d8f6-c3f4-4057-8a31-9d06b7d9a9c4,2026-08-06,P3_aug5_aug27,serper,Manufacturing Today,Competitive,competitors,Techmer PM,NanoXplore partners with Techmer PM for graphene-enhanced film masterbatch,"NanoXplore describes scaling graphene production to 5,000 tons per year and highlights multiple commercial applications. It also announced a partnership with Techmer PM to use graphene in compound/masterbatch formulation to increase plastic film strength up to 70% and reduce plastic usage by about 20%.",5.0,Named competitor partnership targets plastic film strength and material reduction.,Monitor,Negative,surface,Named competitor product/partnership in masterbatch,6,Competitor graphene masterbatch partnership with performance and usage claims.,True
BT075,17e85ca9-456d-49b3-b17f-2c84063052b1,2026-08-06,P3_aug5_aug27,serper,European Coatings,Supply Chain,suppliers,Chemours,Chemours reports Q2 2026 results; TiO2 pricing supports cash flow,"Chemours reported Q2 2026 net sales of USD 1,591 million and improved free cash flow to USD 114 million (+128% year-on-year). TiO2 pricing increased 2% globally, with Titanium Technologies net sales up 1% year-on-year and up 18% sequentially.",6.0,TiO2 pricing and cash flow affect pigment/additive input costs.,Flag to procurement,Positive,surface,Supplier earnings with TiO2 pricing,6,TiO2 pricing increase signals higher pigment input costs.,True
BT076,8aef98a7-6763-4cd8-8203-89e16bd88f6b,2026-08-06,P3_aug5_aug27,serper,KRAIBURG TPE,Competitive,competitors,Kraiburg TPE,KRAIBURG TPE promotes THERMOLAST K Series for potable water hoses,"KRAIBURG TPE highlights THERMOLAST® K Series TPE compounds for drinking water hose applications. The article cites PP adhesion, low-kinking performance, and WRAS approvals (BS6920-1:2000 and/or 2014) for cold and warm water, plus compliance with EU Regulation (EU) No 10/2011.",4.0,Competitor product marketing for potable hose materials; limited direct Americhem linkage.,Monitor,Negative,unlabeled,,3,"Promotional showcase of existing grades; no new capacity, pricing, or deal.",
BT077,ff5d7c84-118b-4420-9f68-618eb0f6cc66,2026-08-06,P3_aug5_aug27,serper,AuntMinnie.com,Customer,healthcare,healthcare,IAM union alleges GE HealthCare labor violations at Aurora MRI-coil plant,"The International Association of Machinists and Aerospace Workers (IAM) asked Ohio’s congressional delegation to intervene in a labor dispute involving GE HealthCare’s Aurora, OH manufacturing facility. The union filed two National Labor Relations Board charges alleging unlawful surface bargaining and failure to bargain in good faith, including canceled bargaining sessions and withholding previously scheduled wage increases. GE HealthCare said it is bargaining in good faith and focused on reaching an agreement.",3.0,Healthcare equipment labor dispute; no explicit Americhem supply/demand link.,Monitor,Negative,unlabeled,,3,Labor dispute only; no explicit supply-chain or material disruption details.,
BT078,3e3bda2f-d011-4b2b-8662-2cade5d4658b,2026-08-06,P3_aug5_aug27,serper,ECB Economic Bulletin (via Kurzy.cz),Macro,macro_inflation_rates,macro_inflation_rates,ECB-BIG index tracks euro area credit conditions tightening,"The ECB introduced the ECB-BIG index to provide a timely assessment of euro area intermediation and credit conditions. The index indicates credit conditions are tighter than before the Middle East war, driven mainly by lending rates, and a tightening shock is estimated to reduce euro area real GDP by about 0.6% after four quarters.",4.0,Macro tightening may dampen plastics demand; no Americhem-specific linkage.,Monitor,Negative,unlabeled,,4,"Macro credit tightening implies indirect demand softness, no direct plastics input linkage.",
BT079,bbdc0db7-e7a1-4c84-b271-1f4e4a7b5e76,2026-08-06,P3_aug5_aug27,serper,BASF,Supply Chain,suppliers,BASF,BASF and W.H. Bowker mark 40-year logistics partnership,"BASF and W.H. Bowker are celebrating 40 years since a logistics agreement began on 1 August 1986. The partnership supports BASF’s UK and Ireland logistics and warehousing, including expansions, tailored logistics solutions, and Brexit-related storage and export preparations.",3.0,Long-term logistics milestone; no stated supply-chain change for Americhem.,Monitor,Neutral,unlabeled,,3,"Logistics agreement anniversary; no capacity, pricing, or material supply change stated.",
BT080,c5604094-2314-4f77-8924-ea4766c37c14,2026-08-07,P3_aug5_aug27,serper,EINPresswire,Macro,healthcare,healthcare,Endoscopy sterilization market forecast projects 8.3% CAGR to 2030,"The Business Research Company reports the endoscopy sterilization market reached $1.25 billion in 2025 and is projected to reach $1.87 billion by 2030 (8.3% CAGR). Growth is attributed to infection control needs, increased minimally invasive procedures, and adoption of automated endoscope reprocessors and low-temperature sterilization methods.",5.0,Healthcare sterilization growth supports regulated polymer and packaging demand.,Monitor,Positive,suppress,Market-report boilerplate,2,"Forecast-only; no direct materials, pricing, capacity, or regulatory event.",True
BT081,52e49971-e7d8-474d-a2be-c6e1b47c1caf,2026-08-07,P3_aug5_aug27,serper,Ink World magazine,Competitive,suppliers,Sun Chemical,Siegwerk expands US and Canada ink production capacity,"Siegwerk is accelerating its FORMULA 2030 investments to expand production capacity and technology capabilities in the United States and Canada. Projects include milling and blending modernization in Des Moines, Iowa, and adding water-based and UV-based inkjet production in Morganton, North Carolina, with completion scheduled for 2026.",5.0,Packaging-ink capacity expansion may redirect regional packaging ink demand.,Monitor,Neutral,surface,Named competitor capacity add,6,Inkjet capacity expansion implies increased demand for ink formulation inputs.,True
BT082,1416dfa8-7042-4dc0-bb4c-37f054ee0b20,2026-08-07,P3_aug5_aug27,serper,Carroll County Mirror-Democrat,Supply Chain,suppliers,Trinseo,Trinseo reports Q2 2026 results amid restructuring and force majeure,"Trinseo reported second-quarter 2026 net sales of $845 million (+8% year over year) and a net loss of $120 million. The quarter included $89 million of pre-tax charges tied to lender negotiations and asset restructuring, while adjusted EBITDA rose to $81 million. The company cited lower volumes from closing virgin MMA facilities in Italy and a force majeure at its polystyrene plant in Tessenderlo due to storm damage.",5.0,Supplier disruption and restructuring raise polymer supply volatility risk.,Flag to procurement,Negative,surface,Named supplier force majeure + financial stress,6,Force majeure and restructuring imply styrenics/MMA supply and cost pressure.,True
BT083,bd13b24f-d650-460f-b176-2d020d4f0c38,2026-08-07,P3_aug5_aug27,serper,Simply Wall St,Customer,suppliers,Orion Engineered Carbons,Orion Engineered Carbons shares rebound on specialty margin repair,"Orion Engineered Carbons’ Q2 2026 results showed adjusted EBITDA of US$58 million and free cash flow turning slightly positive at US$2 million. Specialty carbon black delivered its best profit performance since early 2020, while Rubber EBITDA fell 61% year over year to US$19 million and net debt was US$961 million (net debt/adjusted EBITDA 4.4x).",4.0,"Supplier profitability improving, but leverage and Rubber weakness persist.",Monitor,Neutral,unlabeled,,4,Financial performance update only; no stated carbon black pricing or capacity change.,
BT084,cf991e72-175a-463e-91c7-92139cb68e6f,2026-08-07,P3_aug5_aug27,serper,Yahoo Finance (ca.finance.yahoo.com),Customer,customers,Magna International,Magna International declares $0.495 cash dividend,"Magna International Inc. (Magna) announced a cash dividend of $0.495 with an ex-date of Aug. 14, 2026. The page also lists market and valuation metrics and an analyst rating action dated 2026-08-04.",3.0,Dividend announcement only; no polymer/materials or sourcing change mentioned.,Monitor,Neutral,unlabeled,,2,Dividend only; no operational or demand/supply implications stated.,
BT085,84bcc938-2654-4157-abb7-82c4fb012146,2026-08-07,P3_aug5_aug27,serper,Minnesota Lawyer,Other,competitors,Teknor Apex,Teknor Apex trademark case affirmed in 8th Circuit digest,"In the 8th U.S. Circuit Court of Appeals digest, Weems Industries, Inc. v. Teknor Apex Company addresses a Lanham Act trademark dispute over chartreuse-colored water hoses. The appellate court affirmed the district court’s ruling that the color was functional and lacked distinctiveness.",3.0,Teknor Apex legal trademark ruling; no stated Americhem commercial effect.,Monitor,Negative,unlabeled,,3,Trademark loss for Teknor Apex; no operational or market data.,
BT086,0ab7b4d4-2531-41b7-99ad-8e7c0589efb9,2026-08-10,P3_aug5_aug27,serper,Simply Wall St,Competitive,competitors,Avient,Avient reports stronger earnings and raises 2026 guidance,"Avient (AVNT) reported second-quarter 2026 earnings on August 6, citing higher sales, earnings, and a record adjusted EBITDA margin. The article also notes raised full-year guidance, continued debt repayment, and a fair value narrative of $49.71 versus a $45.69 close.",5.0,Competitor performance and guidance indicate ongoing competitive pressure.,Monitor,Neutral,surface,Direct competitor earnings/guidance,5,Competitor beat-and-raise implies stronger demand/capability execution.,True
BT087,77f7c036-28a2-4d61-a3d4-80c13b3470cf,2026-08-10,P3_aug5_aug27,serper,European Coatings,Competitive,suppliers,Univar Solutions,Univar Solutions acquires H.M. Royal to expand specialty distribution,"Univar Solutions completed its acquisition of H.M. Royal, a 101-year-old U.S. specialty distributor of rubber, plastics, and adhesive additives. The deal strengthens Univar’s Performance Materials business and expands reach across the U.S. East and West Coasts with 10+ warehouses and 1,000+ chemical grades.",4.0,Distributor expansion may shift specialty additive channel dynamics; no direct Americhem linkage.,Monitor,Neutral,surface,Named distributor M&A affecting channel,6,Channel expansion via acquisition may change specialty additive distribution dynamics.,True
BT088,d6e5732e-df7b-40fd-ab46-c0779e659e69,2026-08-11,P3_aug5_aug27,serper,MarketScreener (MT Newswires),Competitive,competitors,Avient,Deutsche Bank raises Avient price target to $50,Deutsche Bank adjusted its price target for Avient to $50 from $42 while maintaining a Buy rating. The article provides analyst-consensus context for Avient’s stock performance and target pricing.,5.0,Analyst target change for Avient; indirect competitive pressure.,Monitor,Neutral,suppress,"Analyst price target, not operational",3,Analyst target update only; no operational or market signal.,True
BT089,9c0f9d03-29aa-407e-b3a2-b02844da25a8,2026-08-11,P3_aug5_aug27,serper,BusinessGreen,Macro,macro_automotive,macro_automotive,UK used EV sales hit record market share,"SMMT reports used battery electric vehicle sales in the UK rose 67% to almost 111,000 units in Q2 2026. Used EVs reached a record 5.5% share of the wider used car market, with demand supported by fossil fuel price spikes following the Iran War.",4.0,Macro UK used-EV demand signal; no direct Americhem product linkage.,Monitor,Positive,unlabeled,,2,Used EV market-share statistic only; no material supply or pricing event.,
BT090,571b5760-e795-4bbf-a9cb-14411d3e8300,2026-08-12,P3_aug5_aug27,serper,European Commission,Regulatory,masterbatch_additives_innovation,masterbatch_additives_innovation,"EU packaging rules tighten recycling, recycled content, and PFAS limits","From 12 August 2026, new EU rules on packaging and packaging waste apply. The rules require packaging to be reusable or recoverable, mandate recycled content for plastic packaging, require full recyclability by 2030, introduce clearer labeling, expand deposit-return systems, and restrict PFAS in food packaging.",8.0,EU-wide packaging compliance drives masterbatch/additive formulation and labeling needs.,Escalate to leadership,Positive,surface,Regulation hitting additives/masterbatch,7,Binding EU rules drive material compliance and formulation demand.,True
BT091,4ab67faa-5b7d-471d-bbce-f2ff339f6ebb,2026-08-13,P3_aug5_aug27,serper,SaltWire,Other,customers,Wilbert,Wilbert Marshall re-elected chief of Potlotek First Nation,"Wilbert Marshall was re-elected as chief of Potlotek First Nation in a community vote. He previously served as chief starting in 2002, was removed in 2008 after a criminal conviction, and returned to run again in 2010. The vote included 438 ballots, with Marshall winning about 46%.",3.0,Local governance update with no stated materials or supply-chain linkage.,No action,Neutral,unlabeled,,1,No plastics/chemicals event; unrelated local political update.,
BT092,48d48de9-ca55-44f4-98c2-2db32b9e3c5c,2026-08-14,P3_aug5_aug27,serper,MarketBeat,Competitive,competitors,Avient,Bank of America increases Avient stake by 13.3%,"Bank of America Corp DE increased its Avient Corporation (NYSE:AVNT) stake by 13.3%, buying 124,831 shares to own 1.07 million shares valued at about $38.7 million. The article also cites Avient’s quarterly results: EPS of $0.96, revenue of $917 million, and FY 2026 EPS guidance of $3.10–$3.25.",4.0,Institutional buying and earnings beat; no direct customer or supply-chain change.,Monitor,Neutral,unlabeled,,4,Stake increase and EPS guidance only; no operational or commercial change.,
BT093,16e2d0f9-8a63-4d82-b4fb-dd22ebc8826f,2026-08-14,P3_aug5_aug27,serper,evermorecruises.com,Competitive,competitors,Akro-Mils,Akro-Mils 18-gallon plastic storage bins listed on retail site,"The page lists multiple Akro-Mils plastic storage bins and totes, including 18-gallon KeepBox-style containers. It shows product images, ratings, and sale pricing, with links to individual product detail pages.",3.0,"Competitor product listings only; no supply, pricing, or sourcing change.",Monitor,Negative,unlabeled,,2,Retail product listing only; no operational or market event.,
